start_date,end_date,model_name,run_name,batch_size,num_epochs,learning_rate,input_shape,gpu_type,epoch_duration_sec,max_gpu_memory_mb,activation_functions,num_parameters,num_classes,dropout_rate,train_sample_count,val_sample_count
2025-04-29 01:40:03,2025-04-29 01:58:05,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.3_train5000_epoch6,64,6,0.001,"(3, 384, 384)",Quadro RTX 6000,178.82,21845.74,['GELU'],86859496,1000,0.3,5000,100
2025-04-29 01:58:06,2025-04-29 02:04:18,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.0_train5000_epoch2,64,2,0.01,"(3, 384, 384)",Quadro RTX 6000,179.57,21846.36,['GELU'],86859496,1000,0.0,5000,200
2025-04-29 02:04:18,2025-04-29 02:11:43,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.0_train2000_epoch6,64,6,0.001,"(3, 384, 384)",Quadro RTX 6000,71.84,21846.36,['GELU'],86859496,1000,0.0,2000,100
2025-04-29 02:11:43,2025-04-29 02:16:43,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.3_train2000_epoch4,64,4,0.0001,"(3, 384, 384)",Quadro RTX 6000,72.49,21846.36,['GELU'],86859496,1000,0.3,2000,100
2025-04-29 02:16:43,2025-04-29 02:16:58,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.3_train5000_epoch2,FAILED,2,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.3,5000,100
2025-04-29 02:16:58,2025-04-29 02:17:12,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.01_do0.0_train500_epoch4,FAILED,4,0.01,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,500,100
2025-04-29 02:17:12,2025-04-29 02:17:25,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.1_train500_epoch4,FAILED,4,0.0001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,500,200
2025-04-29 02:17:25,2025-04-29 02:23:37,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.1_train5000_epoch2,64,2,0.001,"(3, 384, 384)",Quadro RTX 6000,180.02,21846.36,['GELU'],86859496,1000,0.1,5000,200
2025-04-29 02:23:37,2025-04-29 02:28:36,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.0001_do0.3_train2000_epoch4,64,4,0.0001,"(3, 384, 384)",Quadro RTX 6000,72.09,21846.36,['GELU'],86859496,1000,0.3,2000,200
2025-04-29 02:28:36,2025-04-29 02:28:51,vit_base_patch16_384,vit_base_patch16_384_bsAUTO_lr0.001_do0.0_train5000_epoch4,FAILED,4,0.001,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.0,5000,100
