start_date,end_date,model_name,run_name,batch_size,num_epochs,learning_rate,input_shape,gpu_type,epoch_duration_sec,max_gpu_memory_mb,activation_functions,num_parameters,num_classes,dropout_rate,train_sample_count,val_sample_count
2025-04-29 01:40:03,2025-04-29 01:40:09,vit_tiny_patch16_224,vit_tiny_patch16_224_bsAUTO_lr0.1_do0.5_train500_epoch6,FAILED,6,0.1,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.5,500,200
2025-04-29 01:40:09,2025-04-29 01:40:18,vit_tiny_patch16_224,vit_tiny_patch16_224_bsAUTO_lr0.1_do0.1_train2000_epoch6,FAILED,6,0.1,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,2000,100
2025-04-29 01:40:18,2025-04-29 01:41:11,vit_tiny_patch16_224,vit_tiny_patch16_224_bsAUTO_lr0.01_do0.0_train5000_epoch6,512,6,0.01,"(3, 224, 224)",Quadro RTX 6000,8.66,14975.75,['GELU'],5717416,1000,0.0,5000,100
2025-04-29 01:41:11,2025-04-29 01:41:20,vit_tiny_patch16_224,vit_tiny_patch16_224_bsAUTO_lr0.1_do0.1_train2000_epoch4,FAILED,4,0.1,"(3, 512, 512)",Quadro RTX 6000,,,,,,0.1,2000,200
2025-04-29 01:41:20,2025-04-29 01:41:27,vit_tiny_patch16_224,vit_tiny_patch16_224_bsAUTO_lr0.001_do0.5_train500_epoch6,512,6,0.001,"(3, 224, 224)",Quadro RTX 6000,0.89,14604.12,['GELU'],5717416,1000,0.5,500,100
2025-04-29 01:41:27,2025-04-29 01:41:32,vit_tiny_patch16_224,vit_tiny_patch16_224_bsAUTO_lr0.1_do0.1_train2000_epoch2,FAILED,2,0.1,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.1,2000,500
2025-04-29 01:41:32,2025-04-29 01:41:37,vit_tiny_patch16_224,vit_tiny_patch16_224_bsAUTO_lr0.01_do0.3_train10000_epoch6,FAILED,6,0.01,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.3,10000,100
2025-04-29 01:41:37,2025-04-29 01:41:42,vit_tiny_patch16_224,vit_tiny_patch16_224_bsAUTO_lr0.0001_do0.5_train5000_epoch2,FAILED,2,0.0001,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.5,5000,200
2025-04-29 01:41:42,2025-04-29 01:41:57,vit_tiny_patch16_224,vit_tiny_patch16_224_bsAUTO_lr0.001_do0.0_train2000_epoch4,512,4,0.001,"(3, 224, 224)",Quadro RTX 6000,3.33,14974.84,['GELU'],5717416,1000,0.0,2000,500
2025-04-29 01:41:57,2025-04-29 01:42:02,vit_tiny_patch16_224,vit_tiny_patch16_224_bsAUTO_lr0.01_do0.1_train10000_epoch6,FAILED,6,0.01,"(3, 384, 384)",Quadro RTX 6000,,,,,,0.1,10000,500
