"Time","Pod: vllm-granite-nnqn9 - Node:sunyibm1.fsl.cs.sunysb.edu - GPU:0"
2025-12-02 10:45:00,0.00413%
2025-12-02 10:45:15,0.00413%
2025-12-02 10:45:30,0.00413%
2025-12-02 10:45:45,3.75%
2025-12-02 10:46:00,3.75%
2025-12-02 10:46:15,67.3%
2025-12-02 10:46:30,67.3%
2025-12-02 10:46:45,67.3%
2025-12-02 10:47:00,67.3%
2025-12-02 10:47:15,67.3%
2025-12-02 10:47:30,67.3%
2025-12-02 10:47:45,67.3%
2025-12-02 10:48:00,67.3%
2025-12-02 10:48:15,67.3%
2025-12-02 10:48:30,67.3%
2025-12-02 10:48:45,65.9%
2025-12-02 10:49:00,65.9%
2025-12-02 10:49:15,97.2%
2025-12-02 10:49:30,97.2%
2025-12-02 10:49:45,99.2%
2025-12-02 10:50:00,99.2%
2025-12-02 10:50:15,99.2%
2025-12-02 10:50:30,99.2%
2025-12-02 10:50:45,99.2%
2025-12-02 10:51:00,99.2%
2025-12-02 10:51:15,99.2%
2025-12-02 10:51:30,99.2%
2025-12-02 10:51:45,99.2%
2025-12-02 10:52:00,99.2%
2025-12-02 10:52:15,99.2%
2025-12-02 10:52:30,99.2%
2025-12-02 10:52:45,99.2%
2025-12-02 10:53:00,99.2%
2025-12-02 10:53:15,99.2%
2025-12-02 10:53:30,99.2%
2025-12-02 10:53:45,99.2%
2025-12-02 10:54:00,99.2%
2025-12-02 10:54:15,99.2%
