"Time","vllm-granite-nnqn9 : ingress"
2025-12-02 10:46:00,1.33 KiB/s
2025-12-02 10:46:15,1.33 KiB/s
2025-12-02 10:46:30,1.07 KiB/s
2025-12-02 10:46:45,1.07 KiB/s
2025-12-02 10:47:00,8.80 B/s
2025-12-02 10:47:15,8.80 B/s
2025-12-02 10:47:30,7.73 B/s
2025-12-02 10:47:45,7.73 B/s
2025-12-02 10:48:00,4.93 B/s
2025-12-02 10:48:15,4.93 B/s
2025-12-02 10:48:30,10.2 B/s
2025-12-02 10:48:45,10.2 B/s
2025-12-02 10:49:00,7.73 B/s
2025-12-02 10:49:15,7.73 B/s
2025-12-02 10:49:30,6.33 B/s
2025-12-02 10:49:45,6.33 B/s
2025-12-02 10:50:00,746 B/s
2025-12-02 10:50:15,746 B/s
2025-12-02 10:50:30,92.7 B/s
2025-12-02 10:50:45,92.7 B/s
2025-12-02 10:51:00,643 B/s
2025-12-02 10:51:15,643 B/s
2025-12-02 10:51:30,41.0 B/s
2025-12-02 10:51:45,41.0 B/s
2025-12-02 10:52:00,76.9 B/s
2025-12-02 10:52:15,76.9 B/s
2025-12-02 10:52:30,105 B/s
2025-12-02 10:52:45,105 B/s
2025-12-02 10:53:00,87.3 B/s
2025-12-02 10:53:15,87.3 B/s
2025-12-02 10:53:30,85.9 B/s
2025-12-02 10:53:45,85.9 B/s
2025-12-02 10:54:00,75.5 B/s
2025-12-02 10:54:15,75.5 B/s
