"Time","Pod: vllm-granite-maxmodel-gwcx9 - Node:sunyibm1.fsl.cs.sunysb.edu - GPU:0"
2025-12-02 11:11:00,0%
2025-12-02 11:11:15,0%
2025-12-02 11:11:30,0%
2025-12-02 11:11:45,0%
2025-12-02 11:12:00,0%
2025-12-02 11:12:15,0%
2025-12-02 11:12:30,0%
2025-12-02 11:12:45,0%
2025-12-02 11:13:00,0%
2025-12-02 11:13:15,0%
2025-12-02 11:13:30,0%
2025-12-02 11:13:45,0%
2025-12-02 11:14:00,0%
2025-12-02 11:14:15,0%
2025-12-02 11:14:30,0%
2025-12-02 11:14:45,0%
2025-12-02 11:15:00,0%
2025-12-02 11:15:15,32%
2025-12-02 11:15:30,32%
2025-12-02 11:15:45,0%
2025-12-02 11:16:00,0%
2025-12-02 11:16:15,0%
2025-12-02 11:16:30,0%
2025-12-02 11:16:45,0%
2025-12-02 11:17:00,0%
2025-12-02 11:17:15,0%
2025-12-02 11:17:30,0%
2025-12-02 11:17:45,0%
2025-12-02 11:18:00,0%
2025-12-02 11:18:15,0%
2025-12-02 11:18:30,0%
2025-12-02 11:18:45,0%
2025-12-02 11:19:00,0%
2025-12-02 11:19:15,100%
2025-12-02 11:19:30,100%
2025-12-02 11:19:45,0%
2025-12-02 11:20:00,0%
2025-12-02 11:20:15,0%
2025-12-02 11:20:30,0%
2025-12-02 11:20:45,0%
