"Time","container : vllm-container"
2025-12-02 11:11:30,476 MiB
2025-12-02 11:11:45,476 MiB
2025-12-02 11:12:00,2.47 GiB
2025-12-02 11:12:15,2.47 GiB
2025-12-02 11:12:30,1.41 GiB
2025-12-02 11:12:45,1.41 GiB
2025-12-02 11:13:00,5.33 GiB
2025-12-02 11:13:15,5.33 GiB
2025-12-02 11:13:30,8.91 GiB
2025-12-02 11:13:45,8.91 GiB
2025-12-02 11:14:00,12.7 GiB
2025-12-02 11:14:15,12.7 GiB
2025-12-02 11:14:30,15.5 GiB
2025-12-02 11:14:45,15.5 GiB
2025-12-02 11:15:00,16.8 GiB
2025-12-02 11:15:15,16.8 GiB
2025-12-02 11:15:30,17.7 GiB
2025-12-02 11:15:45,17.7 GiB
2025-12-02 11:16:00,17.7 GiB
2025-12-02 11:16:15,17.7 GiB
2025-12-02 11:16:30,17.7 GiB
2025-12-02 11:16:45,17.7 GiB
2025-12-02 11:17:00,17.7 GiB
2025-12-02 11:17:15,17.7 GiB
2025-12-02 11:17:30,17.7 GiB
2025-12-02 11:17:45,17.7 GiB
2025-12-02 11:18:00,17.7 GiB
2025-12-02 11:18:15,17.7 GiB
2025-12-02 11:18:30,17.7 GiB
2025-12-02 11:18:45,17.7 GiB
2025-12-02 11:19:00,17.7 GiB
2025-12-02 11:19:15,17.7 GiB
2025-12-02 11:19:30,17.7 GiB
2025-12-02 11:19:45,17.7 GiB
2025-12-02 11:20:00,17.7 GiB
2025-12-02 11:20:15,17.7 GiB
2025-12-02 11:20:30,17.7 GiB
2025-12-02 11:20:45,17.7 GiB
