"Time","RX Pod: vllm-granite-cpuoffload-kshw6 -  Node: sunyibm1.fsl.cs.sunysb.edu - GPI: 0 - Bus ID: 00000000:60:00.0"
2025-12-02 11:42:15,7.80 KiB/s
2025-12-02 11:42:30,7.80 KiB/s
2025-12-02 11:42:45,9.88 KiB/s
2025-12-02 11:43:00,9.88 KiB/s
2025-12-02 11:43:15,212 KiB/s
2025-12-02 11:43:30,212 KiB/s
2025-12-02 11:43:45,39.0 MiB/s
2025-12-02 11:44:00,39.0 MiB/s
2025-12-02 11:44:15,125 MiB/s
2025-12-02 11:44:30,125 MiB/s
2025-12-02 11:44:45,95.8 MiB/s
2025-12-02 11:45:00,95.8 MiB/s
2025-12-02 11:45:15,71.7 MiB/s
2025-12-02 11:45:30,71.7 MiB/s
2025-12-02 11:45:45,126 MiB/s
2025-12-02 11:46:00,126 MiB/s
2025-12-02 11:46:15,46.1 MiB/s
2025-12-02 11:46:30,46.1 MiB/s
2025-12-02 11:46:45,4.52 GiB/s
2025-12-02 11:47:00,4.52 GiB/s
2025-12-02 11:47:15,9.98 GiB/s
2025-12-02 11:47:30,9.98 GiB/s
2025-12-02 11:47:45,2.20 GiB/s
2025-12-02 11:48:00,2.20 GiB/s
2025-12-02 11:48:15,9.28 KiB/s
2025-12-02 11:48:30,9.28 KiB/s
2025-12-02 11:48:45,8.35 KiB/s
2025-12-02 11:49:00,8.35 KiB/s
2025-12-02 11:49:15,2.94 GiB/s
2025-12-02 11:49:30,2.94 GiB/s
2025-12-02 11:49:45,7.97 GiB/s
2025-12-02 11:50:00,7.97 GiB/s
2025-12-02 11:50:15,12.1 KiB/s
2025-12-02 11:50:30,12.1 KiB/s
