"Time","vllm-granite-maxnumseq-7xz9b : ingress"
2025-12-02 12:01:00,9 B/s
2025-12-02 12:01:15,9 B/s
2025-12-02 12:01:30,1.34 KiB/s
2025-12-02 12:01:45,1.34 KiB/s
2025-12-02 12:02:00,1.07 KiB/s
2025-12-02 12:02:15,1.07 KiB/s
2025-12-02 12:02:30,2.47 B/s
2025-12-02 12:02:45,2.47 B/s
2025-12-02 12:03:00,15.5 B/s
2025-12-02 12:03:15,15.5 B/s
2025-12-02 12:03:30,2.47 B/s
2025-12-02 12:03:45,2.47 B/s
2025-12-02 12:04:00,7.73 B/s
2025-12-02 12:04:15,7.73 B/s
2025-12-02 12:04:30,10.2 B/s
2025-12-02 12:04:45,10.2 B/s
2025-12-02 12:05:00,265 B/s
2025-12-02 12:05:15,265 B/s
2025-12-02 12:05:30,485 B/s
2025-12-02 12:05:45,485 B/s
2025-12-02 12:06:00,92.7 B/s
2025-12-02 12:06:15,92.7 B/s
2025-12-02 12:06:30,106 B/s
2025-12-02 12:06:45,106 B/s
2025-12-02 12:07:00,85.7 B/s
2025-12-02 12:07:15,85.7 B/s
2025-12-02 12:07:30,76.9 B/s
