"Time","Pod: vllm-granite-maxnumseq-7xz9b - Node: sunyibm1.fsl.cs.sunysb.edu - GPU: 0"
2025-12-02 12:00:30,210
2025-12-02 12:00:45,210
2025-12-02 12:01:00,210
2025-12-02 12:01:15,1695
2025-12-02 12:01:30,1695
2025-12-02 12:01:45,1695
2025-12-02 12:02:00,1695
2025-12-02 12:02:15,1695
2025-12-02 12:02:30,1695
2025-12-02 12:02:45,1695
2025-12-02 12:03:00,1695
2025-12-02 12:03:15,1695
2025-12-02 12:03:30,1695
2025-12-02 12:03:45,1695
2025-12-02 12:04:00,1695
2025-12-02 12:04:15,1695
2025-12-02 12:04:30,1695
2025-12-02 12:04:45,1890
2025-12-02 12:05:00,1890
2025-12-02 12:05:15,210
2025-12-02 12:05:30,210
2025-12-02 12:05:45,210
2025-12-02 12:06:00,210
2025-12-02 12:06:15,1650
2025-12-02 12:06:30,1650
2025-12-02 12:06:45,210
2025-12-02 12:07:00,210
2025-12-02 12:07:15,210
2025-12-02 12:07:30,210
