"Time","vllm-granite-maxnumbatch-wz9h7 : ingress"
2025-12-02 12:19:30,1.10 KiB/s
2025-12-02 12:19:45,1.10 KiB/s
2025-12-02 12:20:00,244 B/s
2025-12-02 12:20:15,244 B/s
2025-12-02 12:20:30,1.07 KiB/s
2025-12-02 12:20:45,1.07 KiB/s
2025-12-02 12:21:00,7.73 B/s
2025-12-02 12:21:15,7.73 B/s
2025-12-02 12:21:30,4.93 B/s
2025-12-02 12:21:45,4.93 B/s
2025-12-02 12:22:00,10.2 B/s
2025-12-02 12:22:15,10.2 B/s
2025-12-02 12:22:30,6.33 B/s
2025-12-02 12:22:45,6.33 B/s
2025-12-02 12:23:00,8.80 B/s
2025-12-02 12:23:15,8.80 B/s
2025-12-02 12:23:30,725 B/s
2025-12-02 12:23:45,725 B/s
2025-12-02 12:24:00,92.7 B/s
2025-12-02 12:24:15,92.7 B/s
2025-12-02 12:24:30,94.9 B/s
2025-12-02 12:24:45,94.9 B/s
2025-12-02 12:25:00,73.3 B/s
2025-12-02 12:25:15,73.3 B/s
2025-12-02 12:25:30,114 B/s
