"Time","vllm-granite-maxnumbatch-wz9h7 : ingress"
2025-12-02 12:19:30,1.07 p/s
2025-12-02 12:19:45,1.33 p/s
2025-12-02 12:20:00,700 mp/s
2025-12-02 12:20:15,700 mp/s
2025-12-02 12:20:30,1.13 p/s
2025-12-02 12:20:45,1.13 p/s
2025-12-02 12:21:00,133 mp/s
2025-12-02 12:21:15,133 mp/s
2025-12-02 12:21:30,66.7 mp/s
2025-12-02 12:21:45,66.7 mp/s
2025-12-02 12:22:00,167 mp/s
2025-12-02 12:22:15,167 mp/s
2025-12-02 12:22:30,100 mp/s
2025-12-02 12:22:45,100 mp/s
2025-12-02 12:23:00,133 mp/s
2025-12-02 12:23:15,133 mp/s
2025-12-02 12:23:30,1.10 p/s
2025-12-02 12:23:45,1.10 p/s
2025-12-02 12:24:00,900 mp/s
2025-12-02 12:24:15,900 mp/s
2025-12-02 12:24:30,933 mp/s
2025-12-02 12:24:45,933 mp/s
2025-12-02 12:25:00,667 mp/s
2025-12-02 12:25:15,667 mp/s
2025-12-02 12:25:30,967 mp/s
