"Time","Pod: vllm-granite-maxnumbatch-wz9h7 - Node: sunyibm1.fsl.cs.sunysb.edu - GPU: 0"
2025-12-02 12:18:45,210
2025-12-02 12:19:00,210
2025-12-02 12:19:15,210
2025-12-02 12:19:30,210
2025-12-02 12:19:45,210
2025-12-02 12:20:00,210
2025-12-02 12:20:15,1695
2025-12-02 12:20:30,1695
2025-12-02 12:20:45,1695
2025-12-02 12:21:00,1695
2025-12-02 12:21:15,1695
2025-12-02 12:21:30,1695
2025-12-02 12:21:45,1695
2025-12-02 12:22:00,1695
2025-12-02 12:22:15,1695
2025-12-02 12:22:30,1695
2025-12-02 12:22:45,1455
2025-12-02 12:23:00,1455
2025-12-02 12:23:15,210
2025-12-02 12:23:30,210
2025-12-02 12:23:45,210
2025-12-02 12:24:00,210
2025-12-02 12:24:15,210
2025-12-02 12:24:30,210
2025-12-02 12:24:45,1605
2025-12-02 12:25:00,1605
2025-12-02 12:25:15,1695
2025-12-02 12:25:30,1695
