"Time","Pod: vllm-llama-8dffv - Node:sunyibm1.fsl.cs.sunysb.edu - GPU:0"
2025-12-02 12:27:00,0.00413%
2025-12-02 12:27:15,0.00413%
2025-12-02 12:27:30,0.00413%
2025-12-02 12:27:45,6.30%
2025-12-02 12:28:00,6.30%
2025-12-02 12:28:15,64.6%
2025-12-02 12:28:30,64.6%
2025-12-02 12:28:45,64.6%
2025-12-02 12:29:00,64.6%
2025-12-02 12:29:15,64.6%
2025-12-02 12:29:30,64.6%
2025-12-02 12:29:45,64.6%
2025-12-02 12:30:00,64.6%
2025-12-02 12:30:15,64.6%
2025-12-02 12:30:30,64.6%
2025-12-02 12:30:45,69.0%
2025-12-02 12:31:00,69.0%
2025-12-02 12:31:15,98.7%
2025-12-02 12:31:30,98.7%
2025-12-02 12:31:45,98.7%
2025-12-02 12:32:00,98.7%
2025-12-02 12:32:15,98.7%
2025-12-02 12:32:30,98.7%
2025-12-02 12:32:45,98.7%
2025-12-02 12:33:00,98.7%
2025-12-02 12:33:15,98.7%
2025-12-02 12:33:30,98.7%
2025-12-02 12:33:45,98.7%
2025-12-02 12:34:00,98.7%
2025-12-02 12:34:15,98.7%
2025-12-02 12:34:30,98.7%
2025-12-02 12:34:45,98.7%
2025-12-02 12:35:00,98.7%
2025-12-02 12:35:15,98.7%
2025-12-02 12:35:30,98.7%
2025-12-02 12:35:45,98.7%
